tier,division,match_id,label
GRANDMASTERS,GR,NA1_4590109937,0
GRANDMASTERS,GR,NA1_4590085958,1
GRANDMASTERS,GR,NA1_4589975416,1
GRANDMASTERS,GR,NA1_4589746243,0
GRANDMASTERS,GR,NA1_4589366313,1
GRANDMASTERS,GR,NA1_4589255952,1
GRANDMASTERS,GR,NA1_4589189203,1
GRANDMASTERS,GR,NA1_4589140192,1
GRANDMASTERS,GR,NA1_4589076910,0
GRANDMASTERS,GR,NA1_4588996339,1
GRANDMASTERS,GR,NA1_4588966606,1
GRANDMASTERS,GR,NA1_4588951318,1
GRANDMASTERS,GR,NA1_4588889998,0
GRANDMASTERS,GR,NA1_4588867098,1
GRANDMASTERS,GR,NA1_4588856819,1
GRANDMASTERS,GR,NA1_4588820590,1
GRANDMASTERS,GR,NA1_4588799659,1
GRANDMASTERS,GR,NA1_4588791394,0
GRANDMASTERS,GR,NA1_4588778411,1
GRANDMASTERS,GR,NA1_4588608493,0
GRANDMASTERS,GR,NA1_4588575257,1
GRANDMASTERS,GR,NA1_4588558888,1
GRANDMASTERS,GR,NA1_4588510015,0
GRANDMASTERS,GR,NA1_4588475251,1
GRANDMASTERS,GR,NA1_4588447534,1
GRANDMASTERS,GR,NA1_4588317962,0
GRANDMASTERS,GR,NA1_4587947998,0
GRANDMASTERS,GR,NA1_4587918125,0
GRANDMASTERS,GR,NA1_4587885467,0
GRANDMASTERS,GR,NA1_4587864557,0
GRANDMASTERS,GR,NA1_4587850490,1
GRANDMASTERS,GR,NA1_4587435859,1
GRANDMASTERS,GR,NA1_4587408852,1
GRANDMASTERS,GR,NA1_4587355693,1
GRANDMASTERS,GR,NA1_4587015749,1
GRANDMASTERS,GR,NA1_4586975226,1
GRANDMASTERS,GR,NA1_4586546016,1
GRANDMASTERS,GR,NA1_4586509973,1
GRANDMASTERS,GR,NA1_4586490687,1
GRANDMASTERS,GR,NA1_4586380854,1
GRANDMASTERS,GR,NA1_4586210686,0
GRANDMASTERS,GR,NA1_4586192033,0
GRANDMASTERS,GR,NA1_4586159138,1
GRANDMASTERS,GR,NA1_4586125209,1
GRANDMASTERS,GR,NA1_4586101526,1
GRANDMASTERS,GR,NA1_4586084384,1
GRANDMASTERS,GR,NA1_4586071295,0
GRANDMASTERS,GR,NA1_4585831888,0
GRANDMASTERS,GR,NA1_4585653116,0
GRANDMASTERS,GR,NA1_4585619349,0
GRANDMASTERS,GR,NA1_4586586931,1
GRANDMASTERS,GR,NA1_4586146038,0
GRANDMASTERS,GR,NA1_4586108267,0
GRANDMASTERS,GR,NA1_4585386741,0
GRANDMASTERS,GR,NA1_4585204740,1
GRANDMASTERS,GR,NA1_4585000729,1
GRANDMASTERS,GR,NA1_4584983883,1
GRANDMASTERS,GR,NA1_4584938193,1
GRANDMASTERS,GR,NA1_4577587812,0
GRANDMASTERS,GR,NA1_4577541666,0
GRANDMASTERS,GR,NA1_4577452900,0
GRANDMASTERS,GR,NA1_4577429052,1
GRANDMASTERS,GR,NA1_4577372042,1
GRANDMASTERS,GR,NA1_4577361156,1
GRANDMASTERS,GR,NA1_4576607002,0
GRANDMASTERS,GR,NA1_4576570285,1
GRANDMASTERS,GR,NA1_4576556173,0
GRANDMASTERS,GR,NA1_4576531359,0
GRANDMASTERS,GR,NA1_4576523398,0
GRANDMASTERS,GR,NA1_4576154846,1
GRANDMASTERS,GR,NA1_4576097257,1
GRANDMASTERS,GR,NA1_4576034999,1
GRANDMASTERS,GR,NA1_4576002173,0
GRANDMASTERS,GR,NA1_4575972795,0
GRANDMASTERS,GR,NA1_4575937271,0
GRANDMASTERS,GR,NA1_4575907823,1
GRANDMASTERS,GR,NA1_4575863531,0
GRANDMASTERS,GR,NA1_4575840550,0
GRANDMASTERS,GR,NA1_4575800919,0
GRANDMASTERS,GR,NA1_4575774882,0
GRANDMASTERS,GR,NA1_4575745276,0
GRANDMASTERS,GR,NA1_4575700726,0
GRANDMASTERS,GR,NA1_4575685947,0
GRANDMASTERS,GR,NA1_4575662225,1
GRANDMASTERS,GR,NA1_4575639488,1
GRANDMASTERS,GR,NA1_4575632270,1
GRANDMASTERS,GR,NA1_4575294144,1
GRANDMASTERS,GR,NA1_4575244842,0
GRANDMASTERS,GR,NA1_4575182794,1
GRANDMASTERS,GR,NA1_4575139119,1
GRANDMASTERS,GR,NA1_4575112092,1
GRANDMASTERS,GR,NA1_4575045640,1
GRANDMASTERS,GR,NA1_4575021228,1
GRANDMASTERS,GR,NA1_4574966476,0
GRANDMASTERS,GR,NA1_4574938376,1
GRANDMASTERS,GR,NA1_4574904059,1
GRANDMASTERS,GR,NA1_4574866919,1
GRANDMASTERS,GR,NA1_4574843188,1
GRANDMASTERS,GR,NA1_4574819034,1
GRANDMASTERS,GR,NA1_4574744960,1
GRANDMASTERS,GR,NA1_4590155681,0
GRANDMASTERS,GR,NA1_4590146171,0
GRANDMASTERS,GR,NA1_4590108163,1
GRANDMASTERS,GR,NA1_4590032660,1
GRANDMASTERS,GR,NA1_4589978999,0
GRANDMASTERS,GR,NA1_4589942414,1
GRANDMASTERS,GR,NA1_4589005083,1
GRANDMASTERS,GR,NA1_4588975040,0
GRANDMASTERS,GR,NA1_4588928327,0
